"ID","Hora de inicio","Hora de finalización","Indique su Código de Participación","Indique su año de nacimiento","Asco","Ira/enfado","Ansiedad","Miedo","Frustración","Entusiasmo/Excitación","Alegría","Felicidad/placer","Tristeza/depresión","Fatiga/cansancio","Aburrimiento","Satisfacción","Relax","Indiferencia","¿Hiciste una segunda ronda de juego?","Asco2","Ira/enfado2","Ansiedad2","Miedo2","Frustración2","Entusiasmo/Excitación2","Alegría2","Felicidad/placer2","Tristeza/depresión2","Fatiga/cansancio2","Aburrimiento2","Satisfacción2","Relax2","Indiferencia2","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo mental tuviste que invertir para alcanzar tu nivel de rendimiento en el juego?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cuánta demanda física sentiste mientras jugabas?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cómo sentiste la rapidez requerida para cumplir con los tiempos impuestos en el juego? ","Del 1 (Muy poco satisfecho/a) al 10 (Muy satisfecho/a): ¿Cómo te sientes con tu rendimiento durante el juego?  ","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo (combinando el mental y físico) tuviste que poner para cumplir con tus expectativas de rendimiento?","Del 1 (Muy bajo) al 10 (Muy alto): ¿En qué medida te sentiste frustrado/a durante el juego?  "
"1","11/4/24 12:46:01","11/4/24 12:49:42","JJ04111142","2000","Poco","Bastante","Bastante","Nada","Bastante","Mucho","Mucho","Mucho","Casi nada","Poco","Casi nada","Bastante","Casi nada","Nada","No","","","","","","","","","","","","","","","9","8","8","8","7","8"
"2","11/6/24 10:10:18","11/6/24 10:12:06","ZZ06110900","2001","Nada","Casi nada","Bastante","Nada","Poco","Bastante","Ni mucho ni poco","Bastante","Nada","Ni mucho ni poco","Nada","Bastante","Poco","Casi nada","No","","","","","","","","","","","","","","","7","8","7","10","7","6"
"3","11/7/24 19:32:04","11/7/24 19:34:40","AZ13032024","2002","Nada","Nada","Nada","Nada","Casi nada","Ni mucho ni poco","Poco","Poco","Nada","Casi nada","Casi nada","Poco","Casi nada","Casi nada","Sí","Nada","Nada","Casi nada","Nada","Nada","Ni mucho ni poco","Poco","Poco","Nada","Casi nada","Nada","Poco","Nada","Nada","4","2","3","5","3","3"
"4","11/11/24 12:07:06","11/11/24 12:09:17","AG11111100","12/07/2003","Nada","Nada","Nada","Nada","Nada","Bastante","Bastante","Mucho","Nada","Nada","Casi nada","Mucho","Mucho","Poco","Sí","Nada","Nada","Nada","Nada","Nada","Mucho","Bastante","Mucho","Nada","Nada","Casi nada","Mucho","Mucho","Poco","1","1","10","9","2","1"
"5","11/13/24 10:06:02","11/13/24 10:08:41","LC13110900","2003","Nada","Nada","Nada","Nada","Poco","Poco","Poco","Poco","Nada","Casi nada","Ni mucho ni poco","Bastante","Poco","Bastante","Sí","Nada","Nada","Casi nada","Nada","Casi nada","Poco","Poco","Poco","Nada","Poco","Ni mucho ni poco","Bastante","Ni mucho ni poco","Bastante","4","1","3","4","3","2"
"6","11/21/24 11:52:15","11/21/24 11:53:59","BF14110900","2003","Casi nada","Ni mucho ni poco","Ni mucho ni poco","Nada","Bastante","Ni mucho ni poco","Ni mucho ni poco","Poco","Nada","Poco","Poco","Poco","Casi nada","Poco","Sí","Nada","Casi nada","Ni mucho ni poco","Casi nada","Ni mucho ni poco","Poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Casi nada","Casi nada","Poco","Casi nada","Poco","2","3","3","5","3","7"
"7","11/21/24 16:26:23","11/22/24 9:57:48","TD22110900","2003","Nada","Nada","Nada","Casi nada","Poco","Casi nada","Nada","Casi nada","Nada","Nada","Casi nada","Nada","Casi nada","Poco","No","","","","","","","","","","","","","","","4","3","2","5","4","4"
"8","11/22/24 12:01:18","11/22/24 12:04:12","JJ22111100","2003","Nada","Casi nada","Ni mucho ni poco","Nada","Poco","Mucho","Bastante","Bastante","Casi nada","Casi nada","Casi nada","Mucho","Poco","Casi nada","Sí","Nada","Nada","Poco","Nada","Poco","Muchísimo","Bastante","Bastante","Casi nada","Casi nada","Casi nada","Mucho","Ni mucho ni poco","Casi nada","6","3","4","8","6","4"
"9","11/28/24 8:55:01","11/28/24 9:56:05","TD22110900","2003","Nada","Nada","Casi nada","Casi nada","Nada","Poco","Poco","Casi nada","Nada","Casi nada","Poco","Casi nada","Nada","Nada","No","","","","","","","","","","","","","","","5","4","3","7","6","3"
"10","12/13/24 9:53:58","12/13/24 9:55:35","TD22110900","2003","Poco","Nada","Nada","Nada","Poco","Nada","Nada","Nada","Casi nada","Ni mucho ni poco","Poco","Nada","Casi nada","Nada","Sí","Casi nada","Casi nada","Nada","Nada","Poco","Nada","Nada","Nada","Nada","Ni mucho ni poco","Poco","Nada","Casi nada","Casi nada","3","2","3","2","4","5"
"11","1/15/25 17:24:53","1/15/25 17:27:14","HP15011600","2005","Nada","Ni mucho ni poco","Bastante","Nada","Poco","Bastante","Bastante","Bastante","Nada","Nada","Nada","Ni mucho ni poco","Poco","Poco","Sí","Nada","Poco","Ni mucho ni poco","Nada","Poco","Bastante","Bastante","Bastante","Nada","Nada","Nada","Ni mucho ni poco","Poco","Poco","4","4","5","5","5","4"
"12","1/20/25 12:00:56","1/20/25 12:03:08","TD22110900","2003","Casi nada","Casi nada","Poco","Poco","Poco","Ni mucho ni poco","Poco","Ni mucho ni poco","Casi nada","Nada","Poco","Poco","Casi nada","Casi nada","Sí","Casi nada","Poco","Poco","Casi nada","Casi nada","Poco","Poco","Ni mucho ni poco","Casi nada","Casi nada","Poco","Poco","Casi nada","Nada","4","3","2","7","4","6"
"13","1/21/25 18:06:12","1/21/25 18:08:29","AD20010029","2002","Nada","Nada","Casi nada","Nada","Nada","Mucho","Mucho","Mucho","Nada","Nada","Nada","Bastante","Poco","Nada","Sí","Nada","Nada","Casi nada","Nada","Nada","Mucho","Mucho","Mucho","Nada","Nada","Nada","Bastante","Ni mucho ni poco","Nada","3","2","4","7","4","3"
"14","1/22/25 8:34:53","1/22/25 9:41:54","CC16012143","2003","Nada","Nada","Poco","Nada","Poco","Poco","Poco","Poco","Nada","Casi nada","Poco","Casi nada","Casi nada","Ni mucho ni poco","Sí","Nada","Nada","Poco","Nada","Poco","Poco","Poco","Poco","Nada","Casi nada","Casi nada","Casi nada","Casi nada","Ni mucho ni poco","7","2","7","6","7","6"
"15","1/27/25 9:59:51","1/27/25 10:02:44","AP20012327","2005","Nada","Casi nada","Nada","Nada","Nada","Bastante","Ni mucho ni poco","Bastante","Nada","Casi nada","Nada","Bastante","Ni mucho ni poco","Poco","Sí","Nada","Casi nada","Nada","Nada","Nada","Bastante","Ni mucho ni poco","Bastante","Nada","Casi nada","Nada","Bastante","Ni mucho ni poco","Poco","3","3","4","8","4","3"
"16","2/4/25 11:19:17","2/4/25 11:21:48","AA04021030","2001","Nada","Poco","Casi nada","Nada","Nada","Bastante","Bastante","Bastante","Nada","Nada","Nada","Bastante","Bastante","Nada","No","","","","","","","","","","","","","","","8","1","7","2","5","5"
"17","2/12/25 19:38:36","2/12/25 19:41:31","JR12021800","2003","Nada","Poco","Nada","Nada","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Ni mucho ni poco","Nada","Nada","Casi nada","Poco","Poco","Poco","Sí","Nada","Poco","Nada","Nada","Ni mucho ni poco","Poco","Ni mucho ni poco","Poco","Nada","Nada","Casi nada","Poco","Casi nada","Casi nada","3","5","3","8","4","6"
"18","2/18/25 12:19:29","2/18/25 12:21:24","DR18021120","2002","Casi nada","Casi nada","Mucho","Poco","Bastante","Bastante","Ni mucho ni poco","Mucho","Casi nada","Poco","Nada","Bastante","Casi nada","Nada","Sí","Casi nada","Casi nada","Mucho","Casi nada","Bastante","Bastante","Mucho","Mucho","Nada","Ni mucho ni poco","Nada","Bastante","Casi nada","Nada","9","9","10","9","9","10"
"19","2/20/25 17:35:06","2/20/25 17:38:50","KT18021325","2004","Nada","Nada","Poco","Nada","Poco","Mucho","Muchísimo","Muchísimo","Nada","Nada","Nada","Mucho","Mucho","Nada","Sí","Nada","Nada","Poco","Nada","Casi nada","Mucho","Muchísimo","Muchísimo","Nada","Nada","Nada","Muchísimo","Muchísimo","Nada","5","4","5","10","5","4"
