"ID","Hora de inicio","Hora de finalización","Indique su Código de Participación","Indique su año de nacimiento","Asco","Ira/enfado","Ansiedad","Miedo","Frustración","Entusiasmo/Excitación","Alegría","Felicidad/placer","Tristeza/depresión","Fatiga/cansancio","Aburrimiento","Satisfacción","Relax","Indiferencia","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo mental tuviste que invertir para alcanzar tu nivel de rendimiento en el juego?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cuánta demanda física sentiste mientras jugabas?  ","Del 1 (Muy baja) al 10 (Muy alta): ¿Cómo sentiste la rapidez requerida para cumplir con los tiempos impuestos en el juego? ","Del 1 (Muy poco satisfecho/a) al 10 (Muy satisfecho/a): ¿Cómo te sientes con tu rendimiento durante el juego?  ","Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo (combinando el mental y físico) tuviste que poner para cumplir con tus expectativas de rendimiento?","Del 1 (Muy bajo) al 10 (Muy alto): ¿En qué medida te sentiste frustrado/a durante el juego?  "
"1","11/4/24 12:10:21","11/4/24 12:11:58","JJ04111142","2000","Nada","Poco","Mucho","Casi nada","Muchísimo","Bastante","Bastante","Mucho","Ni mucho ni poco","Poco","Poco","Bastante","Nada","Casi nada","8","3","6","5","8","8"
"2","11/6/24 9:34:10","11/6/24 9:36:15","ZZ06110900","2001","Nada","Nada","Bastante","Nada","Ni mucho ni poco","Ni mucho ni poco","Poco","Bastante","Casi nada","Ni mucho ni poco","Nada","Ni mucho ni poco","Nada","Poco","8","4","7","8","9","8"
"3","11/7/24 18:58:20","11/7/24 19:00:30","AZ13032024","2002","Nada","Nada","Poco","Nada","Casi nada","Bastante","Bastante","Bastante","Nada","Casi nada","Nada","Bastante","Poco","Nada","8","1","8","7","8","3"
"4","11/11/24 11:28:32","11/11/24 11:30:00","AG11111100","12/07/2003","Nada","Poco","Casi nada","Nada","Bastante","Ni mucho ni poco","Bastante","Ni mucho ni poco","Nada","Nada","Nada","Poco","Mucho","Ni mucho ni poco","8","1","9","2","7","6"
"5","11/13/24 9:30:26","11/13/24 9:32:55","LC13110900","2003","Nada","Nada","Casi nada","Casi nada","Nada","Casi nada","Poco","Poco","Nada","Casi nada","Bastante","Ni mucho ni poco","Bastante","Mucho","2","1","3","7","3","1"
"6","11/21/24 11:15:05","11/21/24 11:16:37","BF14110900","2003","Nada","Nada","Casi nada","Nada","Casi nada","Mucho","Mucho","Mucho","Nada","Casi nada","Nada","Mucho","Ni mucho ni poco","Nada","7","2","3","9","5","1"
"7","11/22/24 9:16:40","11/22/24 9:18:36","TD22110900","2003","Casi nada","Casi nada","Nada","Nada","Casi nada","Poco","Nada","Casi nada","Nada","Casi nada","Nada","Casi nada","Nada","Poco","6","3","3","3","8","4"
"8","11/22/24 11:27:46","11/22/24 11:30:09","JJ22111100","2003","Nada","Casi nada","Poco","Nada","Poco","Bastante","Bastante","Bastante","Casi nada","Ni mucho ni poco","Poco","Bastante","Poco","Poco","6","7","8","9","7","3"
"9","11/28/24 9:24:39","11/28/24 9:26:26","TD22110900","2003","Casi nada","Casi nada","Nada","Nada","Poco","Casi nada","Casi nada","Casi nada","Casi nada","Casi nada","Nada","Casi nada","Nada","Poco","7","3","3","5","6","3"
"10","12/13/24 9:16:45","12/13/24 9:18:09","TD22110900","2003","Nada","Casi nada","Poco","Casi nada","Casi nada","Ni mucho ni poco","Poco","Casi nada","Nada","Poco","Nada","Poco","Nada","Nada","6","7","9","8","8","5"
