participant,juego_norm,pupil_mean,pupil_std,movimiento_mean,gaze_x_var,gaze_y_var,asco,ira/enfado,ansiedad,miedo,frustración,entusiasmo/excitación,alegría,felicidad/placer,tristeza/depresión,fatiga/cansancio,aburrimiento,satisfacción,relax,nasa_mental,nasa_fisica,nasa_temporal,nasa_rendimiento,nasa_esfuerzo,nasa_frustracion,nasa_rendimiento_inv,afecto_positivo,afecto_negativo,balance_emocional,nasa_carga_total
aa04021030,fallguys,3.4732173460738234,0.23740260515579142,15.478065257449522,0.06731628895158047,0.09335335604907118,1,3,2,1,1,5,5,5,1,1,1,5,5,8,1,7,2,5,5,9,5.0,1.375,3.625,5.833333333333333
aa04021030,fallguys,3.4732173460738234,0.23740260515579142,15.478065257449522,0.06731628895158047,0.09335335604907118,1,3,2,1,1,5,5,5,1,1,1,5,5,8,1,7,2,5,5,9,5.0,1.375,3.625,5.833333333333333
aa04021030,sonic,3.6518390915748173,0.2519600419050391,14.14223630424885,0.055891517625423326,0.07958506763031555,1,1,1,1,2,5,4,5,1,1,1,4,5,5,1,6,9,3,1,2,4.6,1.125,3.4749999999999996,3.0
aa04021030,tetris,3.4648163701360075,0.22360489041868936,15.962109381828762,0.06741554403975093,0.10325918129670524,6,1,1,1,1,2,2,2,1,1,6,2,1,1,1,5,2,1,1,9,1.8,2.25,-0.44999999999999996,3.0
aa04021030,tetris,3.4648163701360075,0.22360489041868936,15.962109381828762,0.06741554403975093,0.10325918129670524,6,1,1,1,1,2,2,2,1,1,6,2,1,1,1,5,2,1,1,9,1.8,2.25,-0.44999999999999996,3.0
ag11111100,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,1,1,5,5,6,1,1,2,6,6,1,1,10,9,2,1,2,5.6,1.125,4.475,2.8333333333333335
ag11111100,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,1,1,5,5,6,1,1,2,6,6,1,1,10,9,2,1,2,5.6,1.125,4.475,2.8333333333333335
ag11111100,sonic,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,1,1,3,5,4,6,1,1,1,6,6,3,1,10,10,4,2,1,5.4,1.375,4.025,3.5
ag11111100,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,3,2,1,5,4,5,4,1,1,1,3,6,8,1,9,2,7,6,9,4.4,1.875,2.5250000000000004,6.666666666666667
ag11111100,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,3,2,1,5,4,5,4,1,1,1,3,6,8,1,9,2,7,6,9,4.4,1.875,2.5250000000000004,6.666666666666667
ca13032312,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,1,1,3,5,5,5,1,1,2,5,3,5,5,4,5,5,6,6,4.6,1.5,3.0999999999999996,5.166666666666667
ca13032312,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,1,1,3,5,5,5,1,1,2,5,3,5,5,4,5,5,6,6,4.6,1.5,3.0999999999999996,5.166666666666667
ca13032312,sonic,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,1,1,3,4,5,5,1,2,3,4,4,6,3,5,5,6,6,6,4.4,1.75,2.6500000000000004,5.333333333333333
ca13032312,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,1,4,6,6,6,1,2,1,5,3,7,2,8,10,6,3,1,5.2,1.625,3.575,4.5
ca13032312,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,2,1,4,6,6,6,1,2,1,5,3,7,2,8,10,6,3,1,5.2,1.625,3.575,4.5
cc12031630,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,1,1,6,7,6,1,1,2,6,6,4,3,6,7,5,2,4,6.2,1.125,5.075,4.0
cc12031630,fallguys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,1,1,1,1,6,7,6,1,1,2,6,6,4,3,6,7,5,2,4,6.2,1.125,5.075,4.0
cc12031630,sonic,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,1,1,2,4,4,5,1,2,3,5,5,6,6,4,7,5,4,4,4.6,1.625,2.9749999999999996,4.833333333333333
cc12031630,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,3,1,3,6,6,7,1,1,1,6,3,9,2,7,10,8,6,1,5.6,1.625,3.9749999999999996,5.5
cc12031630,tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,1,2,3,1,3,6,6,7,1,1,1,6,3,9,2,7,10,8,6,1,5.6,1.625,3.9749999999999996,5.5
